GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TemperatureSeries,ua.edu.ucu.tempseries,TempSummaryStatistics,9,18,0,0,3,7,3,2,3,2
TemperatureSeries,ua.edu.ucu.tempseries,TemperatureSeriesAnalysis,19,371,6,42,4,71,5,31,1,11
